SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI 1.05 KnowItAll 2018	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H]	UALIB-970	alcohol 66	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	XHRDNPBOKGLUAN-ZNWCQBQASA-N	InChI=1S/C31H50N2O6Si/c1-29(2,3)39-28(36)32-16-14-25-24-18-22(20-38-40(8,9)30(4,5)6)26(32)31(25,15-17-34)33(27(24)35)19-21-10-12-23(37-7)13-11-21/h10-13,22,24-26,34H,14-20H2,1-9H3/t22-,24?,25?,26?,31-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H]	UALIB-971	silyl enol ether 62	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	RPMRJMNLSREHHU-DFZKCEJHSA-N	InChI=1S/C37H62N2O6Si2/c1-34(2,3)45-33(41)38-21-19-30-29-23-27(25-44-47(13,14)36(7,8)9)31(38)37(30,20-22-43-46(11,12)35(4,5)6)39(32(29)40)24-26-15-17-28(42-10)18-16-26/h15-18,20,22,27,29-31H,19,21,23-25H2,1-14H3/b22-20+/t27-,29?,30?,31?,37-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H]	UALIB-972	71a and 71b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	ZFXYTLYFECRQKZ-PPPABDCYSA-N	InChI=1S/2C44H67ClN2O9Si2/c2*1-41(2,3)55-40(51)46-23-22-34-33-25-30(27-53-57(11,12)42(4,5)6)35(46)44(34,47(37(33)49)26-28-18-20-32(52-10)21-19-28)36(48)39(56-58(13,14)43(7,8)9)54-38(50)29-16-15-17-31(45)24-29/h2*15-21,24,30,33-36,39,48H,22-23,25-27H2,1-14H3/t30-,33?,34?,35?,36+,39?,44-;30-,33?,34+,35-,36+,39?,44-/m00/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](O)(CO)[H])[H]	UALIB-973	diol 70a	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-RKCAKDHBSA-N	InChI=1S/C31H50N2O7Si/c1-29(2,3)40-28(37)32-15-14-24-23-16-21(19-39-41(8,9)30(4,5)6)26(32)31(24,25(35)18-34)33(27(23)36)17-20-10-12-22(38-7)13-11-20/h10-13,21,23-26,34-35H,14-19H2,1-9H3/t21-,23?,24+,25+,26-,31+/m0/s1	unclear why the IK is the same as 974. SMILES are different. Currently investigating
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](O)(CO)[H])[H]	UALIB-974	diol 70b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-RKCAKDHBSA-N	InChI=1S/C31H50N2O7Si/c1-29(2,3)40-28(37)32-15-14-24-23-16-21(19-39-41(8,9)30(4,5)6)26(32)31(24,25(35)18-34)33(27(23)36)17-20-10-12-22(38-7)13-11-20/h10-13,21,23-26,34-35H,14-19H2,1-9H3/t21-,23?,24+,25+,26-,31+/m0/s1	
C1[C@]2(\C([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(NCCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])=C\C(=O)OCC)[H]	UALIB-975	87	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	DWJSXLMTWKJYLL-ZZTDJMJKSA-N	InChI=1S/C37H60N2O8Si/c1-11-45-32(40)23-30-29-18-20-39(35(42)47-36(2,3)4)33(30)27(25-46-48(9,10)37(5,6)7)22-31(29)34(41)38-19-12-13-21-44-24-26-14-16-28(43-8)17-15-26/h14-17,23,27,29,31,33H,11-13,18-22,24-25H2,1-10H3,(H,38,41)/b30-23-/t27-,29-,31?,33-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CC(=O)OCC)[H]	UALIB-976	88	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	FZXBXNCRWDTGRG-QGCLWDPNSA-N	InChI=1S/C37H60N2O8Si/c1-11-45-31(40)23-37-30-18-20-38(34(42)47-35(2,3)4)32(37)27(25-46-48(9,10)36(5,6)7)22-29(30)33(41)39(37)19-12-13-21-44-24-26-14-16-28(43-8)17-15-26/h14-17,27,29-30,32H,11-13,18-25H2,1-10H3/t27-,29?,30+,32-,37-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H]	UALIB-977	alcohol 89	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	BIJQKNUPJWSDGP-SHLIVEOUSA-N	InChI=1S/C35H58N2O7Si/c1-33(2,3)44-32(40)36-19-16-29-28-22-26(24-43-45(8,9)34(4,5)6)30(36)35(29,17-20-38)37(31(28)39)18-10-11-21-42-23-25-12-14-27(41-7)15-13-25/h12-15,26,28-30,38H,10-11,16-24H2,1-9H3/t26-,28?,29+,30-,35-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H]	UALIB-978	silyl enol ether 90	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	UGERVEXSLWQXQK-BJSMMKKSSA-N	InChI=1S/C41H70N2O7Si2/c1-38(2,3)50-37(45)42-24-21-34-33-27-31(29-49-52(13,14)40(7,8)9)35(42)41(34,22-26-48-51(11,12)39(4,5)6)43(36(33)44)23-15-16-25-47-28-30-17-19-32(46-10)20-18-30/h17-20,22,26,31,33-35H,15-16,21,23-25,27-29H2,1-14H3/b26-22+/t31-,33?,34+,35-,41-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H]	UALIB-979	91a and 91b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	GOGPVAQGZWBXJB-QPPYDHDWSA-N	InChI=1S/2C48H75ClN2O9Si2/c2*1-45(2,3)59-44(55)50-28-26-38-37-30-34(31-57-61(11,12)46(4,5)6)39(50)48(38,51(41(37)53)27-17-15-16-19-32-22-24-36(56-10)25-23-32)40(52)43(60-62(13,14)47(7,8)9)58-42(54)33-20-18-21-35(49)29-33/h2*18,20-25,29,34,37-40,43,52H,15-17,19,26-28,30-31H2,1-14H3/t34-,37?,38?,39+,40+,43?,48-;34-,37?,38+,39-,40+,43?,48-/m00/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-980	bisacetate 92	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	VIQXRWYYZXJRRR-BTLJOBLISA-N	InChI=1S/C44H70N2O10Si2/c1-30(47)54-37(22-26-57(10,11)12)39(55-31(2)48)44-36-21-24-45(41(50)56-42(3,4)5)38(44)33(29-53-58(13,14)43(6,7)8)27-35(36)40(49)46(44)23-15-16-25-52-28-32-17-19-34(51-9)20-18-32/h17-20,33,35-39H,15-16,21,23-25,27-29H2,1-14H3/t33-,35?,36+,37+,38-,39+,44-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCO)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-981	97	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	PISJZLLEDNSWJI-ICSLFNNESA-N	InChI=1S/C36H62N2O9Si2/c1-24(40)45-29(17-21-48(9,10)11)31(46-25(2)41)36-28-16-19-37(33(43)47-34(3,4)5)30(36)26(23-44-49(12,13)35(6,7)8)22-27(28)32(42)38(36)18-14-15-20-39/h26-31,39H,14-16,18-20,22-23H2,1-13H3/t26-,27?,28+,29+,30-,31+,36-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/[Sn](CCCC)(CCCC)CCCC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-982	vinyl stannane 105	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	ROLSGWKDEHURIS-UCPWECOXSA-N	InChI=1S/C40H65N2O8Si2.3C4H9.Sn/c1-15-16-17-18-19-20-23-42-36(45)31-26-30(27-47-52(13,14)39(7,8)9)34-40(42,32(31)21-24-41(34)37(46)50-38(4,5)6)35(49-29(3)44)33(48-28(2)43)22-25-51(10,11)12;3*1-3-4-2;/h1,15,17-18,30-35H,16,19-21,23-24,26-27H2,2-14H3;3*1,3-4H2,2H3;/b15-1?,18-17-;;;;/t30-,31?,32+,33+,34-,35+,40-;;;;/m0..../s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/I)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(O)[H])(O)[H])[H]	UALIB-983	vinyl iodide 106	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	KGSKKTGXAKPXTL-HPJOMHFPSA-N	InChI=1S/C36H61IN2O6Si2/c1-34(2,3)45-33(43)38-22-18-28-27-24-26(25-44-47(10,11)35(4,5)6)30(38)36(28,31(41)29(40)19-23-46(7,8)9)39(32(27)42)21-17-15-13-12-14-16-20-37/h12-13,16,20,26-31,40-41H,14-15,17-18,21-22,24-25H2,1-11H3/b13-12-,20-16-/t26-,27?,28+,29+,30-,31+,36-/m0/s1	
C1[C@]2([C@@]34[C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N4CCC\C=C/C\C=C/C#C[C@]([C@@]3(O)[H])(O)[H])=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[H]	UALIB-984	macrocycle 100	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	VNMIHYBDZXYCFY-UDFRUHDTSA-N	InChI=1S/C33H52N2O6Si/c1-31(2,3)41-30(39)34-20-18-25-24-21-23(22-40-42(7,8)32(4,5)6)27(34)33(25)28(37)26(36)17-15-13-11-9-10-12-14-16-19-35(33)29(24)38/h10-13,23-28,36-37H,9,14,16,18-22H2,1-8H3/b12-10-,13-11-/t23-,24?,25+,26+,27-,28+,33-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])C=O)[H]	UALIB-985	148	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	QROHRNIZMZBNKY-LTPROADISA-N	InChI=1S/C34H54N2O7Si/c1-32(2,3)43-31(39)35-18-16-28-27-20-25(22-42-44(8,9)33(4,5)6)29(35)34(28,23-37)36(30(27)38)17-10-11-19-41-21-24-12-14-26(40-7)15-13-24/h12-15,23,25,27-29H,10-11,16-22H2,1-9H3/t25-,27?,28+,29-,34-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C=C)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C=C)(O)[H])[H]	UALIB-986	165a,b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	OJMJPLXWFSZYJM-SHVWULNOSA-N	InChI=1S/2C36H58N2O7Si/c2*1-11-30(39)36-29-18-20-37(33(41)45-34(2,3)4)31(36)26(24-44-46(9,10)35(5,6)7)22-28(29)32(40)38(36)19-12-13-21-43-23-25-14-16-27(42-8)17-15-25/h2*11,14-17,26,28-31,39H,1,12-13,18-24H2,2-10H3/t26-,28?,29?,30?,31-,36+;26-,28?,29+,30?,31-,36+/m00/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C=C)(OC(=O)C)[H])[H]	UALIB-987	166	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	VRPGCFAEKYVZTQ-FAYHDHABSA-N	InChI=1S/C38H60N2O8Si/c1-12-32(47-26(2)41)38-31-19-21-39(35(43)48-36(3,4)5)33(38)28(25-46-49(10,11)37(6,7)8)23-30(31)34(42)40(38)20-13-14-22-45-24-27-15-17-29(44-9)18-16-27/h12,15-18,28,30-33H,1,13-14,19-25H2,2-11H3/t28-,30?,31+,32+,33-,38+/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-988	167	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	VIQXRWYYZXJRRR-YIHUSWHCSA-N	InChI=1S/C44H70N2O10Si2/c1-30(47)54-37(22-26-57(10,11)12)39(55-31(2)48)44-36-21-24-45(41(50)56-42(3,4)5)38(44)33(29-53-58(13,14)43(6,7)8)27-35(36)40(49)46(44)23-15-16-25-52-28-32-17-19-34(51-9)20-18-32/h17-20,33,35-39H,15-16,21,23-25,27-29H2,1-14H3/t33-,35?,36+,37-,38-,39+,44-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCO)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-989	168	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	PISJZLLEDNSWJI-WGOUFVCISA-N	InChI=1S/C36H62N2O9Si2/c1-24(40)45-29(17-21-48(9,10)11)31(46-25(2)41)36-28-16-19-37(33(43)47-34(3,4)5)30(36)26(23-44-49(12,13)35(6,7)8)22-27(28)32(42)38(36)18-14-15-20-39/h26-31,39H,14-16,18-20,22-23H2,1-13H3/t26-,27?,28+,29-,30-,31+,36-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/[Sn](CCCC)(CCCC)CCCC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H]	UALIB-990	vinyl stannane 169	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	ROLSGWKDEHURIS-ZIQKBDENSA-N	InChI=1S/C40H65N2O8Si2.3C4H9.Sn/c1-15-16-17-18-19-20-23-42-36(45)31-26-30(27-47-52(13,14)39(7,8)9)34-40(42,32(31)21-24-41(34)37(46)50-38(4,5)6)35(49-29(3)44)33(48-28(2)43)22-25-51(10,11)12;3*1-3-4-2;/h1,15,17-18,30-35H,16,19-21,23-24,26-27H2,2-14H3;3*1,3-4H2,2H3;/b15-1?,18-17-;;;;/t30-,31?,32+,33-,34-,35+,40-;;;;/m0..../s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/I)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C)(O)[H])(O)[H])[H]	UALIB-991	vinyl iodide 170	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHQWZVSHSXSEDA-WKMLVWODSA-N	InChI=1S/C33H53IN2O6Si/c1-10-26(37)28(38)33-25-17-20-35(30(40)42-31(2,3)4)27(33)23(22-41-43(8,9)32(5,6)7)21-24(25)29(39)36(33)19-16-14-12-11-13-15-18-34/h1,11-12,15,18,23-28,37-38H,13-14,16-17,19-22H2,2-9H3/b12-11-,18-15-/t23-,24?,25+,26-,27-,28+,33-/m0/s1	
C1[C@]2([C@@]34[C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N4CCC\C=C/C\C=C/C#C[C@@]([C@]3(O)[H])(O)[H])=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[H]	UALIB-992	macrocycle 60	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	VNMIHYBDZXYCFY-QVGSGRCBSA-N	InChI=1S/C33H52N2O6Si/c1-31(2,3)41-30(39)34-20-18-25-24-21-23(22-40-42(7,8)32(4,5)6)27(34)33(25)28(37)26(36)17-15-13-11-9-10-12-14-16-19-35(33)29(24)38/h10-13,23-28,36-37H,9,14,16,18-22H2,1-8H3/b12-10-,13-11-/t23-,24?,25+,26-,27-,28+,33-/m0/s1	
