DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	
UALIB-2789	COC(=O)[C@H]1CCC[C@@H]([N+](=O)[O-])[C@H]2[C@H](C)[C@]3(Cl)O[C@@H]3[C@@H]1C21CC1	81	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C16H22ClNO5/c1-8-11-10(18(20)21)5-3-4-9(14(19)22-2)12(15(11)6-7-15)13-16(8,17)23-13/h8-13H,3-7H2,1-2H3/t8-,9-,10+,11+,12+,13+,16-/m0/s1	YTBBOHHXIJASDW-DQLLVDKESA-N	YTBBOHHXIJASDW-DQLLVDKESA-N	[H][C@]12[C@H]3O[C@@]3(Cl)[C@@H](C)[C@]([H])([C@@H](CCC[C@@H]1C(=O)OC)[N+]([O-])=O)C21CC1	TRUE	
UALIB-2790	CC(C)(C)[Si](C)(C)OC1CCC(=O)CC1	95	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C12H24O2Si/c1-12(2,3)15(4,5)14-11-8-6-10(13)7-9-11/h11H,6-9H2,1-5H3	HXKBGMNGSYGPRB-UHFFFAOYSA-N	HXKBGMNGSYGPRB-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CCC(=O)CC1	TRUE	
UALIB-2791	CC(C)(C)[Si](C)(C)OC1CCC(=O)C(Cl)C1	91	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C12H23ClO2Si/c1-12(2,3)16(4,5)15-9-6-7-11(14)10(13)8-9/h9-10H,6-8H2,1-5H3	MJRVAGUACRHCFN-UHFFFAOYSA-N	MJRVAGUACRHCFN-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CCC(=O)C(Cl)C1	TRUE	
UALIB-2792	CC(C)(C)[Si](C)(C)OC1CC=C(N2CCCC2)C(Cl)C1	96	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C16H30ClNOSi/c1-16(2,3)20(4,5)19-13-8-9-15(14(17)12-13)18-10-6-7-11-18/h9,13-14H,6-8,10-12H2,1-5H3	ZITSAUHYJIHREL-UHFFFAOYSA-N	ZITSAUHYJIHREL-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CC=C(C(Cl)C1)N1CCCC1	TRUE	
UALIB-2793	CC(C)[Si](OC1CCC(=O)CC1)(C(C)C)C(C)C	94	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H30O2Si/c1-11(2)18(12(3)4,13(5)6)17-15-9-7-14(16)8-10-15/h11-13,15H,7-10H2,1-6H3	TZQRNBGGOVBEOR-UHFFFAOYSA-N	TZQRNBGGOVBEOR-UHFFFAOYSA-N	CC(C)[Si](OC1CCC(=O)CC1)(C(C)C)C(C)C	TRUE	
UALIB-2794	CC(C)[Si](OC1CCC(=O)C(Cl)C1)(C(C)C)C(C)C	90	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H29ClO2Si/c1-10(2)19(11(3)4,12(5)6)18-13-7-8-15(17)14(16)9-13/h10-14H,7-9H2,1-6H3	PGGRXAVIPDQQNF-UHFFFAOYSA-N	PGGRXAVIPDQQNF-UHFFFAOYSA-N	CC(C)[Si](OC1CCC(=O)C(Cl)C1)(C(C)C)C(C)C	TRUE	
UALIB-2795	O=C1O[C@@H]2C[C@H]1C1C=CC([C@H](I)C2)C12CC2.O=C1O[C@H]2C[C@H](I)C3C=CC([C@@H]1C2)C31CC1	109 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/2C13H15IO2/c2*14-11-6-7-5-8(12(15)16-7)9-1-2-10(11)13(9)3-4-13/h2*1-2,7-11H,3-6H2/t7-,8+,9?,10?,11+;7-,8+,9?,10?,11-/m11/s1	HJQNIRIEHNRNON-MPTMCOCISA-N	HJQNIRIEHNRNON-UDULHJCXSA-N	[H][C@@]12C[C@@H](C3C=CC([C@@H](I)C1)C31CC1)C(=O)O2.[H][C@@]12C[C@@H](C3C=CC([C@H](I)C1)C31CC1)C(=O)O2	FALSE	identified as possible 2D SMILES layout issue. Resubmitted to PubChem as ChemAxon sdf, see CA_Marvin_processed_sdf folder. 
UALIB-2796	COC(=O)[C@H]1CC(=O)C[C@@H](I)C2C=CC1C21CC1.COC(=O)[C@H]1CC(=O)C[C@H](I)C2C=CC1C21CC1	112 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/2C14H17IO3/c2*1-18-13(17)9-6-8(16)7-12(15)11-3-2-10(9)14(11)4-5-14/h2*2-3,9-12H,4-7H2,1H3/t9-,10?,11?,12+;9-,10?,11?,12-/m00/s1	BQXGJWNJIRWBIE-BZSYXYMGSA-N	BQXGJWNJIRWBIE-BZSYXYMGSA-N	COC(=O)[C@H]1CC(=O)C[C@H](I)C2C=CC1C21CC1.COC(=O)[C@H]1CC(=O)C[C@@H](I)C2C=CC1C21CC1	TRUE	
UALIB-2797	COC(=O)[C@H]1CC(=O)/C=C\C2C=CC1C21CC1	113	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C14H16O3/c1-17-13(16)11-8-10(15)4-2-9-3-5-12(11)14(9)6-7-14/h2-5,9,11-12H,6-8H2,1H3/b4-2-/t9?,11-,12?/m0/s1	NALPBIHGCHBKTD-KIHCUCEUSA-N	NALPBIHGCHBKTD-KIHCUCEUSA-N	COC(=O)[C@H]1CC(=O)\C=C/C2C=CC1C21CC1	TRUE	
UALIB-2798	O=C1O[C@H]2/C=C\C3C=CC([C@@H]1C2)C31CC1	116	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C13H14O2/c14-12-10-7-9(15-12)3-1-8-2-4-11(10)13(8)5-6-13/h1-4,8-11H,5-7H2/b3-1-/t8?,9-,10-,11?/m0/s1	LJGIYFYZMYUDBA-GKTKNHDMSA-N	LJGIYFYZMYUDBA-ADKYGKPOSA-N	[H][C@@]12C[C@@H](C3C=CC(\C=C/1)C31CC1)C(=O)O2	FALSE	identified as possible 2D SMILES layout issue. Resubmitted to PubChem as ChemAxon sdf, see CA_Marvin_processed_sdf folder. 
UALIB-2799	COC(=O)[C@H]1CC(O)(C(C)=O)/C=C\C2C=CC1C21CC1	115	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C16H20O4/c1-10(17)16(19)6-5-11-3-4-13(15(11)7-8-15)12(9-16)14(18)20-2/h3-6,11-13,19H,7-9H2,1-2H3/b6-5-/t11?,12-,13?,16?/m0/s1	DYFGDDDJFLEDBY-FBMPXNOTSA-N	DYFGDDDJFLEDBY-FBMPXNOTSA-N	COC(=O)[C@H]1CC(O)(\C=C/C2C=CC1C21CC1)C(C)=O	TRUE	
UALIB-2800	CC1(C)OC2CCCC(=O)C2O1	117	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C9H14O3/c1-9(2)11-7-5-3-4-6(10)8(7)12-9/h7-8H,3-5H2,1-2H3	MRTKVCOALNIMRT-UHFFFAOYSA-N	MRTKVCOALNIMRT-UHFFFAOYSA-N	CC1(C)OC2CCCC(=O)C2O1	TRUE	
UALIB-2801	CC1(C)OC2CCC=C(OS(=O)(=O)C(F)(F)F)C2O1	118	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C10H13F3O5S/c1-9(2)16-6-4-3-5-7(8(6)17-9)18-19(14,15)10(11,12)13/h5-6,8H,3-4H2,1-2H3	BPQMTDNNWJBNBW-UHFFFAOYSA-N	BPQMTDNNWJBNBW-UHFFFAOYSA-N	CC1(C)OC2CCC=C(OS(=O)(=O)C(F)(F)F)C2O1	TRUE	
UALIB-2802	CC1(C)OC2CCC/C(=N\N)C2O1	122	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C9H16N2O2/c1-9(2)12-7-5-3-4-6(11-10)8(7)13-9/h7-8H,3-5,10H2,1-2H3/b11-6+	BIMOCPCIAGCEBM-IZZDOVSWSA-N	BIMOCPCIAGCEBM-IZZDOVSWSA-N	CC1(C)OC2CCC\C(=N/N)C2O1	TRUE	
UALIB-2803	CC1(C)OC2CCC=C(I)C2O1	119	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C9H13IO2/c1-9(2)11-7-5-3-4-6(10)8(7)12-9/h4,7-8H,3,5H2,1-2H3	VFZPNBZQBURFCH-UHFFFAOYSA-N	VFZPNBZQBURFCH-UHFFFAOYSA-N	CC1(C)OC2CCC=C(I)C2O1	TRUE	
UALIB-2804	CCOC(=O)C1=C(C(=O)OCC)[C@@H]2CC[C@H]3OC(C)(C)O[C@H]3C2=C(OCC)C1	121	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C21H30O7/c1-6-24-15-11-13(19(22)25-7-2)16(20(23)26-8-3)12-9-10-14-18(17(12)15)28-21(4,5)27-14/h12,14,18H,6-11H2,1-5H3/t12-,14+,18+/m0/s1	DIYPYTQNESPBAM-WPKBUWHJSA-N	DIYPYTQNESPBAM-WPKBUWHJSA-N	CCOC(=O)C1=C([C@@H]2CC[C@H]3OC(C)(C)O[C@H]3C2=C(C1)OCC)C(=O)OCC	TRUE	
UALIB-2805	CC(C)[Si](O[C@H]1CC(I)C2CC[C@]3(C)OC(=O)[C@H](C1)C3C21CC1)(C(C)C)C(C)C	162	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C24H41IO3Si/c1-14(2)29(15(3)4,16(5)6)28-17-12-18-21-23(7,27-22(18)26)9-8-19(20(25)13-17)24(21)10-11-24/h14-21H,8-13H2,1-7H3/t17-,18-,19?,20?,21?,23+/m1/s1	KREROMPXIXEGBP-UTVZBYICSA-N	KREROMPXIXEGBP-UTVZBYICSA-N	CC(C)[Si](O[C@@H]1C[C@@H]2C3C4(CC4)C(CC[C@]3(C)OC2=O)C(I)C1)(C(C)C)C(C)C	TRUE	
UALIB-2806	CC(C)[Si](O[C@H]1C/C=C2/CC[C@]3(C)OC(=O)[C@H](C1)C3C21CC1)(C(C)C)C(C)C	163	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C24H40O3Si/c1-15(2)28(16(3)4,17(5)6)27-19-9-8-18-10-11-23(7)21(24(18)12-13-24)20(14-19)22(25)26-23/h8,15-17,19-21H,9-14H2,1-7H3/b18-8-/t19-,20+,21?,23-/m0/s1	ORKGUAWRUFKHQV-TUVWGGCGSA-N	ORKGUAWRUFKHQV-TUVWGGCGSA-N	CC(C)[Si](O[C@H]1C\C=C2\CC[C@]3(C)OC(=O)[C@H](C1)C3C21CC1)(C(C)C)C(C)C	TRUE	
UALIB-2807	C[C@@]12CCC3C(I)CC(=O)C[C@@H](C(=O)O1)C2C31CC1	178	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H19IO3/c1-14-3-2-10-11(16)7-8(17)6-9(13(18)19-14)12(14)15(10)4-5-15/h9-12H,2-7H2,1H3/t9-,10?,11?,12?,14+/m1/s1	LFSSIHMXFUZVEN-IGPQPYRGSA-N	LFSSIHMXFUZVEN-IGPQPYRGSA-N	C[C@]12CCC3C(I)CC(=O)C[C@H](C1C31CC1)C(=O)O2	TRUE	
UALIB-2808	C[C@@]12CCC3/C=C\C(=O)C[C@@H](C(=O)O1)C2C31CC1	179	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H18O3/c1-14-5-4-9-2-3-10(16)8-11(13(17)18-14)12(14)15(9)6-7-15/h2-3,9,11-12H,4-8H2,1H3/b3-2-/t9?,11-,12?,14+/m1/s1	MESPBEHUVQDVLY-VGMJUPDJSA-N	MESPBEHUVQDVLY-VGMJUPDJSA-N	C[C@]12CCC3\C=C/C(=O)C[C@H](C1C31CC1)C(=O)O2	TRUE	
UALIB-2809	C[C@@]12CCC3C(I)C[C@H](O)C[C@@H](C(=O)O1)C2C31CC1	168	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H21IO3/c1-14-3-2-10-11(16)7-8(17)6-9(13(18)19-14)12(14)15(10)4-5-15/h8-12,17H,2-7H2,1H3/t8-,9-,10?,11?,12?,14+/m1/s1	BMLZBQMIWRDXSA-PBAIXUOJSA-N	BMLZBQMIWRDXSA-PBAIXUOJSA-N	C[C@]12CCC3C(I)C[C@H](O)C[C@H](C1C31CC1)C(=O)O2	TRUE	
UALIB-2810	C[C@@]12CCC3(O)/C=C\C(=O)C[C@@H](C(=O)O1)C2C31CC1	171	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H18O4/c1-13-4-7-15(18)3-2-9(16)8-10(12(17)19-13)11(13)14(15)5-6-14/h2-3,10-11,18H,4-8H2,1H3/b3-2-/t10-,11?,13+,15?/m1/s1	PJKJOYWTQOWGSX-QUDHVLNDSA-N	PJKJOYWTQOWGSX-QUDHVLNDSA-N	C[C@]12CCC3(O)\C=C/C(=O)C[C@H](C1C31CC1)C(=O)O2	TRUE	
UALIB-2811	CC(C)(C)[Si](C)(C)OC1=C/[C@H]2C(=O)O[C@@]3(C)CCC(O)(\C=C/1)C1(CC1)C23	180	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C21H32O4Si/c1-18(2,3)26(5,6)25-14-7-8-21(23)12-9-19(4)16(20(21)10-11-20)15(13-14)17(22)24-19/h7-8,13,15-16,23H,9-12H2,1-6H3/b8-7-,14-13+/t15-,16?,19+,21?/m1/s1	QGUBRNPIJVGUOU-VAQVZSBTSA-N	QGUBRNPIJVGUOU-VAQVZSBTSA-N	CC(C)(C)[Si](C)(C)O/C1=C/[C@@H]2C3C4(CC4)C(O)(CC[C@]3(C)OC2=O)/C=C\1	TRUE	
UALIB-2812	CC(C)(C)[Si](C)(C)OC1C(=O)/C=C\C2(O)CC[C@]3(C)OC(=O)[C@H]1C3C21CC1	181	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C21H32O5Si/c1-18(2,3)27(5,6)26-15-13(22)7-8-21(24)12-9-19(4)16(20(21)10-11-20)14(15)17(23)25-19/h7-8,14-16,24H,9-12H2,1-6H3/b8-7-/t14-,15?,16?,19+,21?/m1/s1	QUOAZBCKBMPXMX-JUSQUQMRSA-N	QUOAZBCKBMPXMX-JUSQUQMRSA-N	CC(C)(C)[Si](C)(C)OC1[C@@H]2C3C4(CC4)C(O)(CC[C@]3(C)OC2=O)\C=C/C1=O	TRUE	
